metro,metro_rank,metro_yoy_pct,metro_dom,metro_ratio,metro_med_price,zip,state,city,address,sale_date,sale_amount,mortgage_amount,cash_sale,beds,baths,sqft,year_built,lot_sqft,attom_id
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"2616 KENT DR, SPRINGFIELD, IL 62703",,,,True,,,,,,215088107
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"2312 E KANSAS ST, SPRINGFIELD, IL 62703",,,,True,,,,,,210294523
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"2314 E KANSAS ST, SPRINGFIELD, IL 62703",,,,True,,,,,,214704351
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"1113 S LIVINGSTON ST, SPRINGFIELD, IL 62703",,,,True,,,,,,19295829
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"1203 E LAUREL ST, SPRINGFIELD, IL 62703",,,,True,,,,,,214344143
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"2331 S 13TH ST, SPRINGFIELD, IL 62703",,,,True,,,,,,7834444
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"1620 S 6TH ST, SPRINGFIELD, IL 62703",,,,True,,,,,,15043577
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"2147 YALE BLVD, SPRINGFIELD, IL 62703",,,,True,,,,,,213130438
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"530 S LIVINGSTON ST, SPRINGFIELD, IL 62703",,,,True,,,,,,211149032
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"1320 E STANFORD AVE, SPRINGFIELD, IL 62703",,,,True,,,,,,212221447
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"530 S LIVINGSTON ST, SPRINGFIELD, IL 62703",,,,True,,,,,,214611940
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,", SPRINGFIELD, IL 62703",,,,True,,,,,,233071753
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"2525 S 5TH ST, SPRINGFIELD, IL 62703",,,,True,,,,,,15747772
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"3241 BUCKNER ST, SPRINGFIELD, IL 62703",,,,True,,,,,,214156201
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"1927 S 13TH ST, SPRINGFIELD, IL 62703",,,,True,,,,,,215800529
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"2249 E STUART ST, SPRINGFIELD, IL 62703",,,,True,,,,,,214608456
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"1815 READING RD, SPRINGFIELD, IL 62703",,,,True,,,,,,213611704
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"2612 STEILER PL, SPRINGFIELD, IL 62703",,,,True,,,,,,214120953
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"1510 S 6TH ST, SPRINGFIELD, IL 62703",,,,True,,,,,,215103925
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,", SPRINGFIELD, IL 62703",,,,True,,,,,,233070800
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"2241 S 12TH ST, SPRINGFIELD, IL 62703",,,,True,,,,,,249328
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"1725 ADLAI STEVENSON DR, SPRINGFIELD, IL 62703",,,,True,,,,,,17254576
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"3163 CARMAN AVE, SPRINGFIELD, IL 62703",,,,True,,,,,,214801904
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"2033 E ADAMS ST, SPRINGFIELD, IL 62703",,,,True,,,,,,17731041
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"3232 S 1ST ST, SPRINGFIELD, IL 62703",,,,True,,,,,,213751889
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"1905 GREENTREE RD, SPRINGFIELD, IL 62703",,,,True,,,,,,19243796
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"2036 S 4TH ST, SPRINGFIELD, IL 62703",,,,True,,,,,,213130496
"Springfield, IL",1,33.33,26,0.952,200000,62703,IL,SPRINGFIELD,"3332 S 4TH ST, SPRINGFIELD, IL 62703",,,,True,,,,,,212095450
"Springfield, IL",1,33.33,26,0.952,200000,62704,IL,SPRINGFIELD,"1637 S GLENWOOD AVE, SPRINGFIELD, IL 62704",,,,True,,,,,,42576797
"Springfield, IL",1,33.33,26,0.952,200000,62704,IL,SPRINGFIELD,"615 S ENGLISH AVE, SPRINGFIELD, IL 62704",,,,True,,,,,,153979902
"Springfield, IL",1,33.33,26,0.952,200000,62704,IL,SPRINGFIELD,"1914 SUN MILL CT, SPRINGFIELD, IL 62704",,,,True,,,,,,207655426
"Springfield, IL",1,33.33,26,0.952,200000,62704,IL,SPRINGFIELD,"2512 WYDOWN AVE, SPRINGFIELD, IL 62704",,,,True,,,,,,32651595
"Springfield, IL",1,33.33,26,0.952,200000,62704,IL,SPRINGFIELD,"2409 S LOWELL AVE, SPRINGFIELD, IL 62704",,,,True,,,,,,214777576
"Springfield, IL",1,33.33,26,0.952,200000,62704,IL,SPRINGFIELD,"1616 SETON DR, SPRINGFIELD, IL 62704",,,,True,,,,,,210651682
"Springfield, IL",1,33.33,26,0.952,200000,62704,IL,SPRINGFIELD,"1428 W EDWARDS ST, SPRINGFIELD, IL 62704",,,,True,,,,,,211879305
